"AmostraArq","AmostraFicha","Especie","Site","decimalLatitude","decimalLongitude","Sepal_length_cm","Sepal_width_cm","Petal_length_cm","Petal_width_cm","Data","sepal_width"
"A143","A127","Iris_virginica",3,48.329837,-65.512333,6.2,2.8,4.8,1.8,"1929-12-01",NA
"A44","A49","Iris_setosa",3,48.329837,-65.512333,5.3,3.7,1.5,0.2,"1929-12-01",NA
"A100","A100","Iris_versicolor",3,48.329837,-65.512333,5.7,2.8,4.1,1.3,"1929-12-01",NA
"A12","A3","Iris_setosa",1,48.935966,-64.840984,4.7,3.2,1.3,0.2,"1929-12-01",NA
"A131","A140","Iris_virginica",2,48.540502,-64.766512,6.9,3.1,5.4,2.1,"1930-02-13",NA
"A145","A133","Iris_virginica",3,48.329837,-65.512333,6.4,2.8,5.6,2.2,"1929-12-01",NA
"A132","A143","Iris_virginica",2,48.540502,-64.766512,5.8,2.7,5.1,1.9,"1930-02-13",NA
"A47","A7","Iris_setosa",3,48.329837,-65.512333,4.6,3.4,1.4,0.3,"1929-12-01",NA
"A150","A148","Iris_virginica",3,48.329837,-65.512333,6.5,3,5.2,2,"1929-12-01",NA
"A98","A94","Iris_versicolor",3,48.329837,-65.512333,5,2.3,3.3,1,"1929-12-01",NA
"A87","A61","Iris_versicolor",3,48.329837,-65.512333,5,2,3.5,1,"1929-12-01",NA
"A14","A9","Iris_setosa",1,48.935966,-64.840984,4.4,2.9,1.4,0.2,"1929-12-01",NA
"A63","A87","Iris_versicolor",1,48.935966,-64.840984,6.7,3.1,4.7,1.5,"1929-12-01",NA
"A141","A121","Iris_virginica",3,48.329837,-65.512333,6.9,3.2,5.7,2.3,"1929-12-01",NA
"A57","A69","Iris_versicolor",1,48.935966,-64.840984,6.2,2.2,4.5,1.5,"1929-12-01",NA
"A150","A17","Iris_virginica",1,48.935966,-64840984,NA,5.9,5.1,1.8,"1929-12-01",3
"A137","A130","Iris_virginica",2,48.540502,-64766512,NA,6.3,5.6,2.4,"1930-02-13",3.4
"A81","A61","Iris_versicolor",1,48.935966,-64840984,NA,5.5,3.8,1.1,"1929-12-01",2.4
"A31","A38","Iris_setosa",3,48.329837,-65512333,NA,4.8,1.6,0.2,"1929-12-01",3.1
"A134","A129","Iris_virginica",2,48.540502,-64766512,NA,6.3,5.1,1.5,"1930-02-13",2.8
"A113","A122","Iris_virginica",2,48.540502,-64766512,NA,6.8,5.5,2.1,"1930-02-13",3
"A40","A41","Iris_setosa",3,48.329837,-65512333,NA,5.1,1.5,0.2,"1929-12-01",3.4
"A96","A66","Iris_versicolor",1,48.935966,-64840984,NA,5.7,4.2,1.2,"1929-12-01",3
"A52","A84","Iris_versicolor",3,48.329837,-65512333,NA,6.4,4.5,1.5,"1929-12-01",3.2
