"Species","Latitude","Longitude","species","decimalLatitude","decimalLongitude"
"Rhipsalis teres",-21.42611,-41.19222,NA,NA,NA
"Polytmus guainumbi",-21.5833333333333,-41.1833333333333,NA,NA,NA
"Furnarius figulus",-21.5833333333333,-41.18,NA,NA,NA
"Furnarius rufus",-21.5833333333333,-41.18,NA,NA,NA
"Formicivora rufa",-21.3666666666667,-41.08,NA,NA,NA
"Boa constrictor",-21.2341666666667,-41.1219444444444,NA,NA,NA
"Hylocharis cyanus",-21.3666666666667,-41.0833333333333,NA,NA,NA
"Leptodactylus latrans",-21.2863888888889,-41.1377777777778,NA,NA,NA
"Certhiaxis cinnamomeus",-21.5833333333333,-41.18,NA,NA,NA
"Platypodium elegans",-21.4075,-41.0830555555556,NA,NA,NA
"Bauhinia ovata",-21.3713888888889,-41.1152777777778,NA,NA,NA
"Hymenaea altissima",-21.3875,-41.0838888888889,NA,NA,NA
"Senegalia polyphylla",-21.3905555555556,-41.0852777777778,NA,NA,NA
"Casearia souzae",-21.418056,-41.083056,NA,NA,NA
"Machaerium incorruptibile",-21.4069444444444,-41.0830555555556,NA,NA,NA
"Acosmium lentiscifolium",-21.4166666666667,-41.0791666666667,NA,NA,NA
"Casearia souzae",-21.41806,-41.08306,NA,NA,NA
"Sicalis luteola",-21.3734,-41.09,NA,NA,NA
"Parapiptadenia pterosperma",-21.4108333333333,-41.0819444444444,NA,NA,NA
"Rhytipterna simplex",-21.3734,-41.09,NA,NA,NA
"Myiarchus tyrannulus",-21.3734,-41.09,NA,NA,NA
"Myiarchus swainsoni",-21.3734,-41.09,NA,NA,NA
"Parapiptadenia pterosperma",-21.410833,-41.081944,NA,NA,NA
"Hydropsalis maculicaudus",-21.3734,-41.09,NA,NA,NA
"Hylophilus thoracicus",-21.3734,-41.09,NA,NA,NA
"Myrocarpus frondosus",-21.3722222222222,-41.0977777777778,NA,NA,NA
"Geranoaetus albicaudatus",-21.3734,-41.09,NA,NA,NA
"Calliandra parvifolia",-21.375,-41.086111,NA,NA,NA
"Euphonia chlorotica",-21.3734,-41.09,NA,NA,NA
"Pseudopiptadenia contorta",-21.4047222222222,-41.0830555555556,NA,NA,NA
"Inga laurina",-21.371388,-41.096111,NA,NA,NA
"Zenaida auriculata",-21.3734,-41.09,NA,NA,NA
"Myiarchus tuberculifer",-21.3734,-41.09,NA,NA,NA
"Apuleia leiocarpa",-21.3961111111111,-41.0816666666667,NA,NA,NA
"Ucides cordatus",-21.57831,-41.068573,NA,NA,NA
"Inga laurina",-21.3713888888889,-41.0961111111111,NA,NA,NA
"Poecilanthe falcata",-21.3866666666667,-41.0830555555556,NA,NA,NA
"Parapiptadenia pterosperma",-21.4022222222222,-41.0816666666667,NA,NA,NA
"Senna pendula",-21.4158333333333,-41.0777777777778,NA,NA,NA
"Mimosa caesalpiniifolia",-21.329444,-41.111111,NA,NA,NA
"Senna multijuga",-21.3294444444444,-41.1011111111111,NA,NA,NA
"Mimosa caesalpiniifolia",-21.3294444444444,-41.1011111111111,NA,NA,NA
"Senna multijuga",-21.329444,-41.111111,NA,NA,NA
"Swartzia apetala",-21.3872222222222,-41.0838888888889,NA,NA,NA
"Platymiscium floribundum",-21.3952777777778,-41.0830555555556,NA,NA,NA
"Centrolobium sclerophyllum",-21.3716666666667,-41.0986111111111,NA,NA,NA
"Platypodium elegans",-21.4072222222222,-41.0830555555556,NA,NA,NA
"Dalbergia frutescens",-21.3808333333333,-41.0802777777778,NA,NA,NA
"Piptadenia paniculata",-21.4088888888889,-41.0825,NA,NA,NA
"Senegalia polyphylla",-21.390555,-41.085555,NA,NA,NA
"Chamaecrista ensiformis",-21.3730555555556,-41.0955555555556,NA,NA,NA
"Bairdiella ronchus",-21.291667,-40.991667,NA,NA,NA
"Albizia polycephala",-21.371111,-41.080833,NA,NA,NA
"Senegalia polyphylla",-21.3716666666667,-41.0805555555556,NA,NA,NA
"Piptadenia trisperma",-21.48,-41.0802777777778,NA,NA,NA
"Inga laurina",-21.4133333333333,-41.0791666666667,NA,NA,NA
"Nigrospora sphaerica",-21.61,-41.05,NA,NA,NA
"Quadrivisio lutzi",-21.658342,-41.183452,NA,NA,NA
"Ormosia nitida",-21.383333,-41.082778,NA,NA,NA
"Centropomus parallelus",-21.291667,-40.991667,NA,NA,NA
"Gymnotus carapo",-21.291667,-40.991667,NA,NA,NA
"Micropogonias furnieri",-21.291667,-40.991667,NA,NA,NA
"Piptadenia paniculata",-21.4022222222222,-41.0816666666667,NA,NA,NA
"Brycon insignis",-21.291667,-40.991667,NA,NA,NA
"Dioclea virgata",-21.4052777777778,-41.0791666666667,NA,NA,NA
"Astyanax bimaculatus",-21.291667,-40.991667,NA,NA,NA
"Astyanax taeniatus",-21.291667,-40.991667,NA,NA,NA
"Oligosarcus jenynsii",-21.291667,-40.991667,NA,NA,NA
"Harttia loricariformis",-21.291667,-40.991667,NA,NA,NA
"Geophagus brasiliensis",-21.291667,-40.991667,NA,NA,NA
"Alcantarea extensa",-21.42611,-41.19222,NA,NA,NA
"Caranx latus",-21.291667,-40.991667,NA,NA,NA
"Paralichthys brasiliensis",-21.291667,-40.991667,NA,NA,NA
"Peltogyne discolor",-21.3775,-41.0922222222222,NA,NA,NA
"Platypodium elegans",-21.4052777777778,-41.0830555555556,NA,NA,NA
"Pseudoloricaria laeviuscula",-21.291667,-40.991667,NA,NA,NA
"Piptadenia paniculata",-21.4005555555556,-41.0816666666667,NA,NA,NA
"Senegalia polyphylla",-21.3905555555556,-41.0855555555556,NA,NA,NA
"Solanum caavurana",-21.404722,-41.083056,NA,NA,NA
