"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-82.983138,12.302679,NA,"Halichoeres poeyi"
"gbif",-71.657318,17.916467,NA,"Halichoeres poeyi"
"gbif",-77.103134,18.407389,NA,"Halichoeres poeyi"
"gbif",-79.618533,9.615828,NA,"Halichoeres poeyi"
"gbif",-62.849205,17.892751,NA,"Halichoeres poeyi"
"gbif",-61.380103,16.221796,NA,"Halichoeres poeyi"
"gbif",-68.830311,18.34792,NA,"Halichoeres poeyi"
"gbif",-80.328605,27.469805,NA,"Halichoeres poeyi"
"gbif",-80.289448,27.471241,NA,"Halichoeres poeyi"
"gbif",-63.017175,18.107254,NA,"Halichoeres poeyi"
"gbif",-63.030451,18.256824,NA,"Halichoeres poeyi"
"gbif",-64.85261,18.317753,NA,"Halichoeres poeyi"
"gbif",-63.05756,18.022005,NA,"Halichoeres poeyi"
"gbif",-77.0398,18.421743,NA,"Halichoeres poeyi"
"gbif",-77.039745,18.421707,NA,"Halichoeres poeyi"
"gbif",-75.477792,19.885994,NA,"Halichoeres poeyi"
"gbif",-82.688957,9.641887,NA,"Halichoeres poeyi"
"gbif",-69.613752,18.444043,NA,"Halichoeres poeyi"
"gbif",-67.0779,17.9412,1.83,"Halichoeres poeyi"
"gbif",-62.847752,17.891913,NA,"Halichoeres poeyi"
"gbif",-87.377101,20.276918,NA,"Halichoeres poeyi"
"gbif",-67.0779,17.9412,3.05,"Halichoeres poeyi"
"gbif",-65.634255,18.375889,NA,"Halichoeres poeyi"
"gbif",-74.127399,11.320162,1.5,"Halichoeres poeyi"
"gbif",-67.27367,18.16304,11,"Halichoeres poeyi"
"gbif",-67.27524,18.16517,18,"Halichoeres poeyi"
"gbif",-67.27632,18.16637,31.5,"Halichoeres poeyi"
"gbif",-67.26688,18.35072,4,"Halichoeres poeyi"
"gbif",-67.27118,18.34652,18,"Halichoeres poeyi"
"gbif",-67.26997,18.34732,11,"Halichoeres poeyi"
"gbif",-67.16267,18.45713,7.62,"Halichoeres poeyi"
"gbif",-67.16075,18.44494,11.28,"Halichoeres poeyi"
"gbif",-66.95998,17.89755,18,"Halichoeres poeyi"
"gbif",-67.23322,17.99116,11,"Halichoeres poeyi"
"gbif",-67.3299,18.0017,4,"Halichoeres poeyi"
"gbif",-66.9978,17.88827,18,"Halichoeres poeyi"
"gbif",-80.042333,26.782617,NA,"Halichoeres poeyi"
"gbif",-79.026332,22.660283,NA,"Halichoeres poeyi"
"gbif",-80.165955,25.362841,NA,"Halichoeres poeyi"
"gbif",-66.88836,17.93626,4,"Halichoeres poeyi"
"gbif",-66.87385,17.93657,4,"Halichoeres poeyi"
"gbif",-66.7563,17.9649,4,"Halichoeres poeyi"
"gbif",-66.75284,17.96093,11,"Halichoeres poeyi"
"gbif",-66.74697,17.95955,18,"Halichoeres poeyi"
"gbif",-67.05067,17.93937,4,"Halichoeres poeyi"
"gbif",-67.0485,17.93472,11,"Halichoeres poeyi"
"gbif",-65.08205,18.34064,9,"Halichoeres poeyi"
"gbif",-64.98435,18.34403,6,"Halichoeres poeyi"
"gbif",-66.52824,17.89507,4,"Halichoeres poeyi"
"gbif",-66.3025,17.93457,4,"Halichoeres poeyi"
"gbif",-66.60856,17.90404,18,"Halichoeres poeyi"
