scientificName,decimalLongitude,decimalLatitude
Halichoeres poeyi,-82.983138,12.302679
Halichoeres poeyi,-71.657318,17.916467
Halichoeres poeyi,-79.618533,9.615828
Halichoeres poeyi,-61.380103,16.221796
Halichoeres poeyi,-68.830311,18.34792
Halichoeres poeyi,-80.289448,27.471241
Halichoeres poeyi,-63.030451,18.256824
Halichoeres poeyi,-63.05756,18.022005
Halichoeres poeyi,-77.039745,18.421707
Halichoeres poeyi,-75.477792,19.885994
Halichoeres poeyi,-82.688957,9.641887
Halichoeres poeyi,-69.613752,18.444043
Halichoeres poeyi,-87.377101,20.276918
Halichoeres poeyi,-67.0779,17.9412
Halichoeres poeyi,-80.042333,26.782617
Halichoeres poeyi,-79.026332,22.660283
Halichoeres poeyi,-66.87385,17.93657
Halichoeres poeyi,-66.3025,17.93457
Halichoeres poeyi,-66.60856,17.90404
Halichoeres poeyi,-81.405056,13.362722
Halichoeres poeyi,-69.539818,19.323856
Halichoeres poeyi,-64.76408,18.31417
Halichoeres poeyi,-64.65221,17.71097
Halichoeres poeyi,-65.00158,18.20217
Halichoeres poeyi,-78.019539,24.706381
Halichoeres poeyi,-87.716433,18.684044
Halichoeres poeyi,-64.44963,17.82427
Halichoeres poeyi,-75.16116,19.919616
Halichoeres poeyi,-67.25297,18.17202
Halichoeres poeyi,-67.48833,18.382
Halichoeres poeyi,-80.092931,26.187989
Halichoeres poeyi,-65.19714,18.13869
Halichoeres poeyi,-65.332,18.32779
Halichoeres poeyi,-65.48794,18.08057
Halichoeres poeyi,-65.56555,18.33537
Halichoeres poeyi,-66.0517,18.46222
Halichoeres poeyi,-66.3736,18.48955
Halichoeres poeyi,-68.23308,12.094591
Halichoeres poeyi,-64.8954,17.734
Halichoeres poeyi,-67.26918,18.35743
Halichoeres poeyi,-74.19433,11.26672
Halichoeres poeyi,-67.32993,18.00138
Halichoeres poeyi,-86.96249,20.499667
Halichoeres poeyi,-62.800252,17.911054
Halichoeres poeyi,-87.8276,18.2667
Halichoeres poeyi,-39.6975,-19.749167
Halichoeres poeyi,-81.8784333,24.4515834
Halichoeres poeyi,-80.75312,24.765
Halichoeres poeyi,-80.24313,25.20847
Halichoeres poeyi,-80.12988,25.41107
Halichoeres poeyi,-80.37186,25.02227
Halichoeres poeyi,-81.43308,24.5534
Halichoeres poeyi,-81.1683499,24.6107834
Halichoeres poeyi,-81.6482667,24.4976833
Halichoeres poeyi,-59.5333,13.05
Halichoeres poeyi,-83.0760333,24.6165667
Halichoeres poeyi,-80.1017,24.6683
Halichoeres poeyi,-82.7862833,24.6931833
Halichoeres poeyi,-80.9446666,24.6954167
Halichoeres poeyi,-77.3566666,8.6721666
Halichoeres poeyi,-81.8613861,12.1958278
Halichoeres poeyi,-42.16666667,-22.95
Halichoeres poeyi,-79.848611111,15.7939722
Halichoeres poeyi,-66.75,11.83333
Halichoeres poeyi,-80.61781,24.9046
Halichoeres poeyi,-80.10179,25.60641
Halichoeres poeyi,-67.978,10.508
Halichoeres poeyi,-38.7,-17.95
Halichoeres poeyi,-59.65,13.25
