scientificName,decimalLongitude,decimalLatitude
Halichoeres poeyi,-82.983138,12.302679
Halichoeres poeyi,-71.657318,17.916467
Halichoeres poeyi,-79.618533,9.615828
Halichoeres poeyi,-61.380103,16.221796
Halichoeres poeyi,-68.830311,18.34792
Halichoeres poeyi,-80.328605,27.469805
Halichoeres poeyi,-63.030451,18.256824
Halichoeres poeyi,-63.05756,18.022005
Halichoeres poeyi,-75.477792,19.885994
Halichoeres poeyi,-69.613752,18.444043
Halichoeres poeyi,-87.377101,20.276918
Halichoeres poeyi,-67.16267,18.45713
Halichoeres poeyi,-79.026332,22.660283
Halichoeres poeyi,-66.75284,17.96093
Halichoeres poeyi,-67.05067,17.93937
Halichoeres poeyi,-66.52824,17.89507
Halichoeres poeyi,-66.21401,17.91544
Halichoeres poeyi,-81.405056,13.362722
Halichoeres poeyi,-69.539818,19.323856
Halichoeres poeyi,-65.00158,18.20217
Halichoeres poeyi,-78.019539,24.706381
Halichoeres poeyi,-82.618183,9.630245
Halichoeres poeyi,-87.716433,18.684044
Halichoeres poeyi,-75.16116,19.919616
Halichoeres poeyi,-67.25297,18.17202
Halichoeres poeyi,-67.48833,18.382
Halichoeres poeyi,-66.0823,18.46118
Halichoeres poeyi,-80.092931,26.187989
Halichoeres poeyi,-65.19714,18.13869
Halichoeres poeyi,-65.332,18.32779
Halichoeres poeyi,-65.53089,18.36033
Halichoeres poeyi,-65.59008,18.08964
Halichoeres poeyi,-80.043787,26.782916
Halichoeres poeyi,-66.3736,18.48955
Halichoeres poeyi,-81.871108,12.173608
Halichoeres poeyi,-68.23308,12.094591
Halichoeres poeyi,-64.59743,17.76278
Halichoeres poeyi,-64.8954,17.734
Halichoeres poeyi,-74.21598,11.24602
Halichoeres poeyi,-77.356667,8.672167
Halichoeres poeyi,-67.32993,18.00138
Halichoeres poeyi,-86.96249,20.499667
Halichoeres poeyi,-62.800252,17.911054
Halichoeres poeyi,-79.888708,15.894373
Halichoeres poeyi,-87.8276,18.2667
Halichoeres poeyi,-39.6975,-19.749167
Halichoeres poeyi,-80.75312,24.765
Halichoeres poeyi,-80.36114,25.0576
Halichoeres poeyi,-81.2128,24.5984
Halichoeres poeyi,-81.4423,24.5786667
Halichoeres poeyi,-80.0918,25.74925
Halichoeres poeyi,-83.08852,24.63803
Halichoeres poeyi,-80.5405833,24.9053167
Halichoeres poeyi,-80.230833,25.227467
Halichoeres poeyi,-59.5333,13.05
Halichoeres poeyi,-82.78105,24.7035833
Halichoeres poeyi,-80.1017,24.6683
Halichoeres poeyi,-80.1321614,25.4049355
Halichoeres poeyi,-42.16666667,-22.95
Halichoeres poeyi,-64.83238,18.29459
Halichoeres poeyi,-80.9645333,24.6856
Halichoeres poeyi,-77.1,18.4083
Halichoeres poeyi,-81.9008,24.4510167
Halichoeres poeyi,-66.75,11.83333
Halichoeres poeyi,-81.6484167,24.49785
Halichoeres poeyi,-67.978,10.508
Halichoeres poeyi,-38.7,-17.95
Halichoeres poeyi,-59.65,13.25
