scientificName,decimalLongitude,decimalLatitude
Halichoeres poeyi,-82.983138,12.302679
Halichoeres poeyi,-71.657318,17.916467
Halichoeres poeyi,-79.618533,9.615828
Halichoeres poeyi,-61.380103,16.221796
Halichoeres poeyi,-68.830311,18.34792
Halichoeres poeyi,-80.328605,27.469805
Halichoeres poeyi,-63.030451,18.256824
Halichoeres poeyi,-63.05756,18.022005
Halichoeres poeyi,-75.477792,19.885994
Halichoeres poeyi,-82.688957,9.641887
Halichoeres poeyi,-69.613752,18.444043
Halichoeres poeyi,-62.847752,17.891913
Halichoeres poeyi,-87.377101,20.276918
Halichoeres poeyi,-74.127399,11.320162
Halichoeres poeyi,-80.042333,26.782617
Halichoeres poeyi,-79.026332,22.660283
Halichoeres poeyi,-66.74697,17.95955
Halichoeres poeyi,-67.05067,17.93937
Halichoeres poeyi,-66.52824,17.89507
Halichoeres poeyi,-66.21401,17.91544
Halichoeres poeyi,-81.35,13.425
Halichoeres poeyi,-69.539818,19.323856
Halichoeres poeyi,-65.00158,18.20217
Halichoeres poeyi,-64.75862,18.24447
Halichoeres poeyi,-78.019539,24.706381
Halichoeres poeyi,-87.716433,18.684044
Halichoeres poeyi,-75.16116,19.919616
Halichoeres poeyi,-67.1919,18.1893
Halichoeres poeyi,-67.484,18.37747
Halichoeres poeyi,-66.08705,18.45372
Halichoeres poeyi,-80.092931,26.187989
Halichoeres poeyi,-65.19714,18.13869
Halichoeres poeyi,-65.32772,18.30493
Halichoeres poeyi,-65.48794,18.08057
Halichoeres poeyi,-65.56711,18.35466
Halichoeres poeyi,-66.3736,18.48955
Halichoeres poeyi,-67.26918,18.35743
Halichoeres poeyi,-81.858608,12.144442
Halichoeres poeyi,-68.23308,12.094591
Halichoeres poeyi,-64.8954,17.734
Halichoeres poeyi,-67.32993,18.00138
Halichoeres poeyi,-86.96249,20.499667
Halichoeres poeyi,-87.8276,18.2667
Halichoeres poeyi,-39.6975,-19.749167
Halichoeres poeyi,-83.0587833,24.6378167
Halichoeres poeyi,-82.82614,24.62694
Halichoeres poeyi,-80.37247,25.02295
Halichoeres poeyi,-64.60917,17.785
Halichoeres poeyi,-67.945,10.486
Halichoeres poeyi,-80.22861,25.21575
Halichoeres poeyi,-59.5333,13.05
Halichoeres poeyi,-80.1017,24.6683
Halichoeres poeyi,-77.3566666,8.6721666
Halichoeres poeyi,-42.16666667,-22.95
Halichoeres poeyi,-80.1583333,25.408
Halichoeres poeyi,-81.4118166,24.5873334
Halichoeres poeyi,-77.1,18.4083
Halichoeres poeyi,-80.5622,24.8841167
Halichoeres poeyi,-80.9651333,24.7012167
Halichoeres poeyi,-66.75,11.83333
Halichoeres poeyi,-81.6484167,24.49785
Halichoeres poeyi,-38.7,-17.95
Halichoeres poeyi,-81.8953833,24.4821167
Halichoeres poeyi,-81.1779,24.6095
Halichoeres poeyi,-80.0958332,25.6556
Halichoeres poeyi,-79.8450833333,15.7964166666
Halichoeres poeyi,-80.75488,24.76597
Halichoeres poeyi,-59.65,13.25
