scientificName,decimalLongitude,decimalLatitude
Halichoeres poeyi,-82.983138,12.302679
Halichoeres poeyi,-71.657318,17.916467
Halichoeres poeyi,-79.618533,9.615828
Halichoeres poeyi,-62.849205,17.892751
Halichoeres poeyi,-61.380103,16.221796
Halichoeres poeyi,-68.830311,18.34792
Halichoeres poeyi,-80.289448,27.471241
Halichoeres poeyi,-63.030451,18.256824
Halichoeres poeyi,-63.05756,18.022005
Halichoeres poeyi,-75.477792,19.885994
Halichoeres poeyi,-82.688957,9.641887
Halichoeres poeyi,-69.613752,18.444043
Halichoeres poeyi,-87.377101,20.276918
Halichoeres poeyi,-67.0779,17.9412
Halichoeres poeyi,-67.16267,18.45713
Halichoeres poeyi,-67.3299,18.0017
Halichoeres poeyi,-79.026332,22.660283
Halichoeres poeyi,-66.87385,17.93657
Halichoeres poeyi,-66.52824,17.89507
Halichoeres poeyi,-66.21401,17.91544
Halichoeres poeyi,-81.35,13.425
Halichoeres poeyi,-69.539818,19.323856
Halichoeres poeyi,-64.65221,17.71097
Halichoeres poeyi,-65.00158,18.20217
Halichoeres poeyi,-64.75862,18.24447
Halichoeres poeyi,-78.019539,24.706381
Halichoeres poeyi,-87.716433,18.684044
Halichoeres poeyi,-64.44963,17.82427
Halichoeres poeyi,-75.16116,19.919616
Halichoeres poeyi,-67.1919,18.1893
Halichoeres poeyi,-74.24058,11.21917
Halichoeres poeyi,-67.4886,18.38158
Halichoeres poeyi,-80.040565,26.783297
Halichoeres poeyi,-66.0823,18.46118
Halichoeres poeyi,-80.092931,26.187989
Halichoeres poeyi,-65.19714,18.13869
Halichoeres poeyi,-65.332,18.32779
Halichoeres poeyi,-65.62972,18.38544
Halichoeres poeyi,-65.59008,18.08964
Halichoeres poeyi,-66.3736,18.48955
Halichoeres poeyi,-68.23308,12.094591
Halichoeres poeyi,-64.8954,17.734
Halichoeres poeyi,-86.96249,20.499667
Halichoeres poeyi,-79.848611,15.793972
Halichoeres poeyi,-87.8276,18.2667
Halichoeres poeyi,-39.6975,-19.749167
Halichoeres poeyi,-82.81782,24.72474
Halichoeres poeyi,-80.3707667,25.0148333
Halichoeres poeyi,-80.11895,25.67501
Halichoeres poeyi,-81.8882167,24.4800667
Halichoeres poeyi,-80.94575,24.6777
Halichoeres poeyi,-67.945,10.486
Halichoeres poeyi,-59.5333,13.05
Halichoeres poeyi,-80.133278,25.4092274
Halichoeres poeyi,-81.6668499,24.5007167
Halichoeres poeyi,-80.1017,24.6683
Halichoeres poeyi,-77.3566666,8.6721666
Halichoeres poeyi,-81.8613861,12.1958278
Halichoeres poeyi,-42.16666667,-22.95
Halichoeres poeyi,-81.40725,24.5477333
Halichoeres poeyi,-80.2199333,25.22295
Halichoeres poeyi,-80.5894333,24.8737334
Halichoeres poeyi,-77.1,18.4083
Halichoeres poeyi,-83.05715,24.612
Halichoeres poeyi,-66.75,11.83333
Halichoeres poeyi,-81.1851666,24.6066334
Halichoeres poeyi,-80.75255,24.76555
Halichoeres poeyi,-38.7,-17.95
Halichoeres poeyi,-59.65,13.25
