scientificName,decimalLongitude,decimalLatitude
Halichoeres poeyi,-82.983138,12.302679
Halichoeres poeyi,-71.657318,17.916467
Halichoeres poeyi,-79.618533,9.615828
Halichoeres poeyi,-62.849205,17.892751
Halichoeres poeyi,-61.380103,16.221796
Halichoeres poeyi,-68.830311,18.34792
Halichoeres poeyi,-80.289448,27.471241
Halichoeres poeyi,-63.030451,18.256824
Halichoeres poeyi,-63.05756,18.022005
Halichoeres poeyi,-77.039745,18.421707
Halichoeres poeyi,-75.477792,19.885994
Halichoeres poeyi,-69.613752,18.444043
Halichoeres poeyi,-87.377101,20.276918
Halichoeres poeyi,-67.3299,18.0017
Halichoeres poeyi,-80.042333,26.782617
Halichoeres poeyi,-79.026332,22.660283
Halichoeres poeyi,-66.7563,17.9649
Halichoeres poeyi,-66.52824,17.89507
Halichoeres poeyi,-66.21401,17.91544
Halichoeres poeyi,-81.405056,13.362722
Halichoeres poeyi,-69.539818,19.323856
Halichoeres poeyi,-64.76408,18.31417
Halichoeres poeyi,-64.65221,17.71097
Halichoeres poeyi,-78.019539,24.706381
Halichoeres poeyi,-82.618183,9.630245
Halichoeres poeyi,-87.716433,18.684044
Halichoeres poeyi,-64.44963,17.82427
Halichoeres poeyi,-75.16116,19.919616
Halichoeres poeyi,-67.1919,18.1893
Halichoeres poeyi,-67.484,18.37747
Halichoeres poeyi,-67.0779,17.9412
Halichoeres poeyi,-66.08705,18.45372
Halichoeres poeyi,-80.092931,26.187989
Halichoeres poeyi,-65.19714,18.13869
Halichoeres poeyi,-65.32772,18.30493
Halichoeres poeyi,-65.56711,18.35466
Halichoeres poeyi,-65.59008,18.08964
Halichoeres poeyi,-66.3736,18.48955
Halichoeres poeyi,-81.84648,12.16297
Halichoeres poeyi,-67.15586,18.4264
Halichoeres poeyi,-68.23308,12.094591
Halichoeres poeyi,-64.8954,17.734
Halichoeres poeyi,-74.19433,11.26672
Halichoeres poeyi,-86.96249,20.499667
Halichoeres poeyi,-87.8276,18.2667
Halichoeres poeyi,-39.6975,-19.749167
Halichoeres poeyi,-65.03442,18.35738
Halichoeres poeyi,-81.4423,24.5786667
Halichoeres poeyi,-80.5925499,24.8799167
Halichoeres poeyi,-83.0646,24.6059833
Halichoeres poeyi,-80.13089,25.40721
Halichoeres poeyi,-67.945,10.486
Halichoeres poeyi,-80.9644167,24.6851667
Halichoeres poeyi,-81.9541,24.47585
Halichoeres poeyi,-59.5333,13.05
Halichoeres poeyi,-80.1017,24.6683
Halichoeres poeyi,-81.6826,24.5553
Halichoeres poeyi,-77.3566666,8.6721666
Halichoeres poeyi,-42.16666667,-22.95
Halichoeres poeyi,-80.75318,24.76668
Halichoeres poeyi,-81.147167,24.615967
Halichoeres poeyi,-80.3776167,25.0379833
Halichoeres poeyi,-82.80362,24.63549
Halichoeres poeyi,-66.75,11.83333
Halichoeres poeyi,-80.0923,25.64854
Halichoeres poeyi,-79.8323602777777,15.8320561
Halichoeres poeyi,-38.7,-17.95
Halichoeres poeyi,-80.21099,25.22605
Halichoeres poeyi,-59.65,13.25
