scientificName,decimalLongitude,decimalLatitude
Halichoeres poeyi,-82.983138,12.302679
Halichoeres poeyi,-71.657318,17.916467
Halichoeres poeyi,-79.618533,9.615828
Halichoeres poeyi,-62.849205,17.892751
Halichoeres poeyi,-61.380103,16.221796
Halichoeres poeyi,-68.830311,18.34792
Halichoeres poeyi,-80.328605,27.469805
Halichoeres poeyi,-63.030451,18.256824
Halichoeres poeyi,-63.05756,18.022005
Halichoeres poeyi,-77.039745,18.421707
Halichoeres poeyi,-75.477792,19.885994
Halichoeres poeyi,-82.688957,9.641887
Halichoeres poeyi,-69.613752,18.444043
Halichoeres poeyi,-87.377101,20.276918
Halichoeres poeyi,-74.127399,11.320162
Halichoeres poeyi,-67.16075,18.44494
Halichoeres poeyi,-67.3299,18.0017
Halichoeres poeyi,-79.026332,22.660283
Halichoeres poeyi,-66.74697,17.95955
Halichoeres poeyi,-67.0485,17.93472
Halichoeres poeyi,-66.52824,17.89507
Halichoeres poeyi,-66.3025,17.93457
Halichoeres poeyi,-81.405056,13.362722
Halichoeres poeyi,-69.539818,19.323856
Halichoeres poeyi,-64.76408,18.31417
Halichoeres poeyi,-64.65221,17.71097
Halichoeres poeyi,-78.019539,24.706381
Halichoeres poeyi,-87.716433,18.684044
Halichoeres poeyi,-64.44963,17.82427
Halichoeres poeyi,-75.16116,19.919616
Halichoeres poeyi,-67.25297,18.17202
Halichoeres poeyi,-67.48833,18.382
Halichoeres poeyi,-66.08705,18.45372
Halichoeres poeyi,-80.092931,26.187989
Halichoeres poeyi,-65.19714,18.13869
Halichoeres poeyi,-65.32772,18.30493
Halichoeres poeyi,-65.56711,18.35466
Halichoeres poeyi,-65.59008,18.08964
Halichoeres poeyi,-80.043787,26.782916
Halichoeres poeyi,-66.3736,18.48955
Halichoeres poeyi,-68.23308,12.094591
Halichoeres poeyi,-64.8954,17.734
Halichoeres poeyi,-77.356667,8.672167
Halichoeres poeyi,-86.96249,20.499667
Halichoeres poeyi,-79.839859,15.833428
Halichoeres poeyi,-87.8276,18.2667
Halichoeres poeyi,-39.6975,-19.749167
Halichoeres poeyi,-83.03559,24.63598
Halichoeres poeyi,-82.0020333,24.45655
Halichoeres poeyi,-80.9567833,24.6986833
Halichoeres poeyi,-65.03442,18.35738
Halichoeres poeyi,-81.1886667,24.6186167
Halichoeres poeyi,-82.82614,24.62694
Halichoeres poeyi,-80.3530833,25.0384333
Halichoeres poeyi,-80.2307499,25.2053667
Halichoeres poeyi,-59.5333,13.05
Halichoeres poeyi,-80.1017,24.6683
Halichoeres poeyi,-81.8613861,12.1958278
Halichoeres poeyi,-42,-22.96666667
Halichoeres poeyi,-80.7515167,24.7663167
Halichoeres poeyi,-66.75,11.83333
Halichoeres poeyi,-80.5670667,24.9005333
Halichoeres poeyi,-80.0986832,25.6804
Halichoeres poeyi,-81.4095499,24.5512334
Halichoeres poeyi,-81.6598833,24.49675
Halichoeres poeyi,-80.1366876,25.4128603
Halichoeres poeyi,-67.978,10.508
Halichoeres poeyi,-38.7,-17.95
Halichoeres poeyi,-59.65,13.25
