scientificName,decimalLongitude,decimalLatitude
Halichoeres poeyi,-82.983138,12.302679
Halichoeres poeyi,-71.657318,17.916467
Halichoeres poeyi,-79.618533,9.615828
Halichoeres poeyi,-61.380103,16.221796
Halichoeres poeyi,-68.830311,18.34792
Halichoeres poeyi,-80.328605,27.469805
Halichoeres poeyi,-63.030451,18.256824
Halichoeres poeyi,-63.05756,18.022005
Halichoeres poeyi,-77.039745,18.421707
Halichoeres poeyi,-75.477792,19.885994
Halichoeres poeyi,-82.688957,9.641887
Halichoeres poeyi,-69.613752,18.444043
Halichoeres poeyi,-80.042333,26.782617
Halichoeres poeyi,-79.026332,22.660283
Halichoeres poeyi,-66.74697,17.95955
Halichoeres poeyi,-67.05067,17.93937
Halichoeres poeyi,-66.52824,17.89507
Halichoeres poeyi,-66.3025,17.93457
Halichoeres poeyi,-81.35,13.425
Halichoeres poeyi,-69.539818,19.323856
Halichoeres poeyi,-64.65221,17.71097
Halichoeres poeyi,-65.00158,18.20217
Halichoeres poeyi,-64.75862,18.24447
Halichoeres poeyi,-78.019539,24.706381
Halichoeres poeyi,-87.716433,18.684044
Halichoeres poeyi,-64.44963,17.82427
Halichoeres poeyi,-75.16116,19.919616
Halichoeres poeyi,-67.25297,18.17202
Halichoeres poeyi,-74.24058,11.21917
Halichoeres poeyi,-67.4886,18.38158
Halichoeres poeyi,-66.0823,18.46118
Halichoeres poeyi,-87.379325,20.276608
Halichoeres poeyi,-80.092931,26.187989
Halichoeres poeyi,-65.19714,18.13869
Halichoeres poeyi,-65.32772,18.30493
Halichoeres poeyi,-65.56711,18.35466
Halichoeres poeyi,-65.59008,18.08964
Halichoeres poeyi,-66.3736,18.48955
Halichoeres poeyi,-68.23308,12.094591
Halichoeres poeyi,-64.8954,17.734
Halichoeres poeyi,-67.26918,18.35743
Halichoeres poeyi,-77.356667,8.672167
Halichoeres poeyi,-67.32993,18.00138
Halichoeres poeyi,-86.96249,20.499667
Halichoeres poeyi,-62.800252,17.911054
Halichoeres poeyi,-87.8276,18.2667
Halichoeres poeyi,-39.6975,-19.749167
Halichoeres poeyi,-81.1890833,24.60695
Halichoeres poeyi,-80.5548333,24.8929333
Halichoeres poeyi,-80.3771667,25.0378333
Halichoeres poeyi,-82.798783,24.727683
Halichoeres poeyi,-59.5333,13.05
Halichoeres poeyi,-80.1017,24.6683
Halichoeres poeyi,-81.8613861,12.1958278
Halichoeres poeyi,-42.16666667,-22.95
Halichoeres poeyi,-81.40725,24.5477333
Halichoeres poeyi,-80.9645333,24.6856
Halichoeres poeyi,-80.132214,25.411348
Halichoeres poeyi,-81.9252,24.4451333
Halichoeres poeyi,-79.848611111,15.7939722
Halichoeres poeyi,-80.2282333,25.2306167
Halichoeres poeyi,-66.75,11.83333
Halichoeres poeyi,-81.63469,24.53709
Halichoeres poeyi,-80.75317,24.7669
Halichoeres poeyi,-80.10179,25.60641
Halichoeres poeyi,-67.978,10.508
Halichoeres poeyi,-38.7,-17.95
Halichoeres poeyi,-83.0632,24.6274167
Halichoeres poeyi,-59.65,13.25
